Site,Latitude,Longitude,Context,Ware,Fabric,Exterior Decoration,Specific Form,Form,Piece,Group,Era,Temper,Notes,Analytical Notes
Meiron,32.982,35.438,,,,,Herodian lamp,Lamp,Nozzle,,1st Century B.C. - 1st Century A.D.,,,
Meiron,32.982,35.438,,,,,Cooking pot,Bowl,,,"Early Roman, 1st Century A.D.",,,
Meiron,32.982,35.438,,,,,Unguentarium,Jar,,,"Early Roman, 1st Century A.D.",,,
Meiron,32.982,35.438,,,,,Cooking pot,Bowl,,Asaro 1981 Group B,"Middle Roman, 2nd-3rd Century A.D.",,,
Meiron,32.982,35.438,,,,,Galilean bowl,Bowl,,Asaro 1981 Group B,3rd Century A.D.,,,
Meiron,32.982,35.438,,,,,Galilean bowl,Bowl,,Asaro 1981 Group B,4th Century A.D.,,,
Meiron,32.982,35.438,,,,,Carinated bowl,Bowl,,,3rd-4th Century A.D.,,,
Meiron,32.982,35.438,,Terra Sigillata,,,,,,Asaro 1981 Group E,4th-5th Century A.D.,,,
Meiron,32.982,35.438,,Terra Sigillata,,,,,,,4th-5th Century A.D.,,,
Meiron,32.982,35.438,,Terra Sigillata,,,,,,,2nd-4th Century A.D.,,,
Magdala,32.838,35.505,,,,,Water jar,Jar,,,"Late Roman, 4th Century A.D.",,,
